route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
1,10_1,1582928178-10,MOSSON,1,1,,
1,10_1,1582927882-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928172-10,MOSSON,1,1,,
1,10_1,1582928179-10,MOSSON,1,1,,
1,10_1,1582927845-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928181-10,MOSSON,1,1,,
1,10_1,1582927842-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928183-10,MOSSON,1,1,,
1,10_1,1582927843-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927883-10,MOSSON,1,1,,
1,10_1,1582927838-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928169-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927837-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928185-10,MOSSON,1,1,,
1,10_1,1582927844-10,MOSSON,1,1,,
1,10_1,1582927881-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927885-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927886-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928177-10,MOSSON,1,1,,
1,10_1,1582927887-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928087-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927884-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927840-10,MOSSON,1,1,,
1,10_1,1582928152-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927888-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927839-10,MOSSON,1,1,,
1,10_1,1582928180-10,MOSSON,1,1,,
1,10_1,1582927889-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928146-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927836-10,MOSSON,1,1,,
1,10_1,1582928088-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927899-10,MOSSON,1,1,,
1,10_1,1582927890-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927901-10,MOSSON,1,1,,
1,10_1,1582927891-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928150-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927902-10,MOSSON,1,1,,
1,10_1,1582928161-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927903-10,MOSSON,1,1,,
1,10_1,1582927892-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927900-10,MOSSON,1,1,,
1,10_1,1582928016-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928153-10,MOSSON,1,1,,
1,10_1,1582928017-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927904-10,MOSSON,1,1,,
1,10_1,1582928018-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927905-10,MOSSON,1,1,,
1,10_1,1582928019-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927906-10,MOSSON,1,1,,
1,10_1,1582928020-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928127-10,MOSSON,1,1,,
1,10_1,1582928021-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928089-10,MOSSON,1,1,,
1,10_1,1582927907-10,MOSSON,1,1,,
1,10_1,1582928107-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927908-10,MOSSON,1,1,,
1,10_1,1582928022-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582928128-10,MOSSON,1,1,,
1,10_1,1582928131-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927909-10,MOSSON,1,1,,
1,10_1,1582928158-10,GARE SUD DE FRANCE,1,0,,
1,10_1,1582927910-10,MOSSON,1,1,,
